Unnamed: 0,번호,제목,저자,출판사,출판일
,18,T-PCCE: Twitter Personality based Communicative Communities Extraction System for Big Data,"Kafeza, Eleanna; Kanavos, Andreas; Makris, Christos; Pispirigos, Georgios; Vikatos, Pantelis",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,19,"A Survey on Spark Ecosystem: Big Data Processing Infrastructure, Machine Learning, and Applications","Tang, Shanjiang; He, Bingsheng; Yu, Ce; Li, Yusen; Li, Kun",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,20,Enhanced Graph Transforming V2 Algorithm for Non-Simple Graph in Big Data Pre-Processing,"Sutedi, Sutedi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,21,VA-Store: A Virtual Approximate Store Approach to Supporting Repetitive Big Data in Genome Sequence Analyses,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,22,Mining Suspicious Tax Evasion Groups in Big Data,"Tian, F.; Lan, T.; Chao, K.; Godwin, N.; Zheng, Q.; Shah, N.; Zhang, F.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,23,An uncertainty measure and fusion rule for conflict evidences of big data via Dempster–Shafer theory,"Dutta, Palash",Taylor & Francis,2018
,24,K Nearest Neighbour Joins for Big Data on MapReduce: A Theoretical and Experimental Analysis,"Song, G.; Rochas, J.; Beze, L. E.; Huet, F.; Magoules, F.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,25,A Multi-Step Nonlinear Dimension-Reduction Approach with Applications to Big Data,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,26,Bit-Oriented Sampling for Aggregation on Big Data,"Hu, Huan; Li, Jianzhong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,27,A Novel Pipeline Approach for Efficient Big Data Broadcasting,"Wu, C.; Ku, C.; Ho, J.; Chen, M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,28,A Privacy-Preserving Distributed Contextual Federated Online Learning Framework with Big Data Support in Social Recommender Systems,"Zhou, Pan; Wang, Kehao; Guo, Linke; Gong, Shimin; Zheng, Bolong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,29,Bias Correction in a Small Sample from Big Data,"Jianguo, L.; Dingding, L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,30,i$^2$ MapReduce: Incremental MapReduce for Mining Evolving Big Data,"Yanfeng, Z.; Shimin, C.; Qiang, W.; Ge, Y.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2015
,31,On the Feasibility of Distributed Kernel Regression for Big Data,"Xu, Chen; Zhang, Yongquan; Li, Runze; Wu, Xindong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,32,Security and Privacy Implications on Database Systems in Big Data Era: A Survey,"Samaraweera, G. Dumindu; Chang, J. Morris",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,33,A Semi-Automatic Design Methodology for (Big) Data Warehouse Transforming Facts into Dimensions,"Sautot, Lucile; Bimonte, Sandro; Journaux, Ludovic",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,34,Web Media and Stock Markets : A Survey and Future Directions from a Big Data Perspective,"Li, Q.; Chen, Y.; Wang, J.; Chen, Y.; Chen, H.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,35,Distributed Bayesian Matrix Decomposition for Big Data Mining and Clustering,"Zhang, Chihao; Yang, Yang; Zhou, Wei; Zhang, Shihua",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,36,"Towards Big Linked Data: A Large-Scale, Distributed Semantic Data Storage",Bo Hu; Nuno Carvalho; Takahide Matsutsuka,Idea Group Pub,2013
,37,A Data-Driven Sequential Localization Framework for Big Telco Data,"Zhu, Fangzhou; Yuan, Mingxuan; Xie, Xike; Wang, Ting; Zhao, Shenglin; Rao, Weixiong; Zeng, Jia",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,38,Effective and efficient distributed management of big clinical data: a framework,"Cuzzocrea, Alfredo; Grasso, Giorgio Mario; Nolich, Massimiliano",Inderscience,2019
,39,A Scalable Data Chunk Similarity Based Compression Approach for Efficient Big Sensing Data Processing on Cloud,"Yang, C.; Chen, J.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,40,A Scalable Multi-Data Sources Based Recursive Approximation Approach for Fast Error Recovery in Big Sensing Data on Cloud,"Yang, Chi; Xu, Xianghua; Ramamohanarao, Kotagiri; Chen, Jinjun",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,41,Extracting Kernel Dataset from Big Sensory Data in Wireless Sensor Networks,"Cheng,  Siyao; Cai,  Zhipeng; Li,  Jianzhong; Gao,  Hong",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,42,Efficient and Distributed Generalized Canonical Correlation Analysis for Big Multiview Data,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,43,Scalable Algorithms for Nearest-Neighbor Joins on Big Trajectory Data,"Fang,  Yixiang; Cheng,  Reynold; Tang,  Wenbin; Maniu,  Silviu; Yang,  Xuan",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,44,Skia: Scalable and Efficient In-Memory Analytics for Big Spatial-Textual Data,"Xu, Yang; Yao, Bin; Wang, Zhi-Jie; Gao, Xiaofeng; Xie, Jiong; Guo, Minyi",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2020
,45,Parallel Fractional Hot-Deck Imputation and Variance Estimation for Big Incomplete Data Curing,"Yang, Yicheng; Kim, Jae Kwang; Cho, In Ho",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2022
,46,Emulated order identification for models of big time series data,"Wu, Brian; Drignei, Dorin","John Wiley & Sons, Ltd",2021
,47,Incremental Factorization of Big Time Series Data with Blind Factor Approximation,"Chen, Dan; Tang, Yunbo; Zhang, Hao; Wang, Lizhe; Li, Xiaoli",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,48,Vecchia–Laplace approximations of generalized Gaussian processes for big non-Gaussian spatial data,"Zilber, Daniel; Katzfuss, Matthias","Elsevier Science B.V., Amsterdam.",2021
,49,Handling Big Dimensions in Distrubted Data Warehouses using the DWS Technique,"Costa, M.; Madeira, H.","ACM,",2004
,50,Data access as a big competitive advantage: evidence from China's car-hailing platforms,"Huang, Lei; Zhao, Yandong; He, Guangxi; Lu, Yangxu; Zhang, Juanjuan; Wu, Peiyi",Emerald Publishing,2020
,51,EU data privacy laws face big shake-up,"Mullock, J.",Palgrave Macmillan,2012
,52,"`Big data' and the analytics course Given student expectations and industry demands, it's time to re-frame content to make analytics course big-data friendly","Bell, P.C.",INSTITUTE FOR OPERATIONS RESEARCH AND THE MANAGEMENT,2014
,53,Big-data: transformation from heterogeneous data to semantically-enriched simplified data,"Malik, K. R.",Springer Science + Business Media,2016
,54,"Editorial Commentary: ""Mo' Data, Mo' Problems""? ""Big Data"" From National Database Studies in Orthopaedic Research and Concerns Over Generalizability","Saltzman, Bryan M.","Elsevier Science B.V., Amsterdam",2019
,55,"Oracle Sparc Accelerates Big Data Oracle's recent Sparc processors integrate hardware acceleration for database software, big-data analytics, and security. They also enable compression of in-memory databases",unknown,MICRODESIGN RESOURCES,2016
,56,Working the fields of big data: Using big-data-augmented online ethnography to study candidate–candidate interaction at election time,"Laaksonen, Salla-Maaria; Nelimarkka, Matti; Tuokko, Mari; Marttila, Mari; Kekkonen, Arto; Villi, Mikko",Taylor and Francis,2017
,57,32.5 ARE YOU READY FOR BIG DATA? GOVERNANCE IN BIG-DATA RESEARCH,"Scheepers, F. E.; Deschamps, P.",Elsevier,2016
,58,32.5 ARE YOU READY FOR BIG DATA? GOVERNANCE IN BIG-DATA RESEARCH,"Scheepers, Floortje E.; Deschamps, Peter",Elsevier,2016
,59,Hazy: Making It Easier to Build and Maintain Big-Data Analytics Racing to unleash the full potential of big data with the latest statistical and machine-learning techniques,"Kumar, A.; Niu, F.; Re, C.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2013
,60,Big-Data Streaming Applications Scheduling with Online Learning and Concept Drift Detection,"Kanoun, Karim; van der Schaar, Mihaela",IEEE Computer Society,2015
,61,Big-Data and the Question of Horizontal and Vertical Intelligence: A Discussion on Disaster Management,"Benaben,  Frederick; Montarnal,  Aurelie; Fertier,  Audrey; Truptil,  Sebastien",Springer.,2016
,62,Big-data x-ray phase contrast imaging simulation challenges [9594-17],unknown,The Society,2015
,63,Big-Data Approaches for Bioinformatics Workflows: A Comparative Assessment,"Nunes,  Rickey T. P.; Deshpande,  Santosh L.",Springer,2016
,64,"Big-Data - Theoretical, Engineering and Analytics Perspective","Agneeswaran, V.S.",SPRINGER-VERLAG,2012
,65,Big-Data Applications in the Government Sector,"Kim, G.-H.; Trimi, S.; Chung, J.-H.",ACM ASSOCIATION FOR COMPUTING MACHINERY,2014
,66,Big-data business models: A critical literature review and multiperspective research framework,"Wiener, Martin; Saunders, Carol; Marabelli, Marco",Palgrave Macmillan,2020
,67,Big-Data Reflection High Energy Electron Diffraction Analysis for Understanding Epitaxial Film Growth Processes,"Vasudevan, R.K.; Tselev, A.; Baddorf, A.P.; Kalinin, S.V.",AMERICAN CHEMICAL SOCIETY,2014
,68,Big-data clustering with interval type-2 fuzzy uncertainty modeling in gene expression datasets,"Shukla, Amit K.; Muhuri, Pranab K.","Elsevier Science B.V., Amsterdam.",2019
,69,Big-Data Tensor Recovery for High-Dimensional Uncertainty Quantification of Process Variations,"Zhang, Z.; Weng, T.; Daniel, L.",IEEE,2017
,70,Big-data Feature Screening Using Bregman Divergence,"Cheng, J.; Cheng, Q.; Zargham, M.",United States; CSREA,2011
,71,Big-data-driven safety decision-making: A conceptual framework and its influencing factors,"Huang, Lang; Wu, Chao; Wang, Bing; Ouyang, Qiumei","Elsevier Science B.V., Amsterdam.",2018
,72,Big-data and machine learning to revamp computational toxicology and its use in risk assessment,"Luechtefeld, T.; Rowlands, C.; Hartung, T.",Royal Society of Chemistry,2018
,73,Big-Data Challenge Advances highlight big issues,unknown,BEIJING REVIEW,2014
,74,"Big-Data Analytics Drives Parking Policy: Evaluating Adherence to Meter Time Limits in Washington, D.C","Liang,  Xiaomeng; Pérez,  Benito O.; Dey,  Soumya S.; Haney,  Heather; Kim,  Jasmin Y.","Washington, DC; National Academy Press; 1998",2016
,75,Big-Data Based Online State of Charge Estimation and Energy Consumption Prediction for Electric Vehicles,"Zhang,  Zhiyun; Huang,  Miaohua; Chen,  Yupu; Gao,  Dong",Society of Automotive Engineers,2016
,76,Big-data for building energy performance: Lessons from assembling a very large national database of building energy use,Paul A. Mathew; Laurel N. Dunn,ELSEVIER,2015
,77,Big-Data Cloud Services Platform for Growth Enterprises with Adaptive Exception Handling and Parallelized Data Mining,"Wen, Yazhi; Bo, Hu; Wen, Bin",Springer,2017
,78,Big-data analytics framework for incorporating smallholders in sustainable palm oil production,"Shukla, Manish; Tiwari, Manoj Kumar",Taylor & Francis,2017
,79,Big-Data Based Real-Time Interactive Growth Management System in Wireless Communications,"Kim, Jonghun; Jang, Heetae; Kim, Jong Tak; Pan, Hee-Jun; Park, Roy C.",Springer Nature,2018
,80,Big-Data Method to Advance Public Health Informatics: Smarter Public Health Prevention System (SPHPS),"Jalali,  Arash; Rahden,  Douglas; Heintz,  Joerg; Filla,  Greg; DiNovi,  Jason; Mensah,  Edward",American Medical Informatics Association,2016
,81,Big-Data Visualization,"Keim, D.; Qu, H.; Ma, K. L.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2013
,82,Big-data analysis for carbon emission reduction from cars: Towards walkable green smart community,"Yamagata, Yoshiki; Murakami, Daisuke; Wu, Yihan; Yang, Perry Pei-Ju; Yoshida, Takahiro; Binder, Robert","Elsevier Science B.V., Amsterdam",2019
,83,Data Transfer Scheduling for Maximizing Throughput of Big-Data Computing in Cloud Systems,"Xie, R.; Jia, X.",IEEE,2018
,84,BIG DATA/BIG COMPUTE TECHNOLOGIES AND THE REALM OF POSSIBILITIES: The Emergence of Real-Time Risk Enterprises in the Capital Markets Industry,MAYIZ HABBAL,Institutional Investor,2014
,85,BIG-DATA APPROACHES TO PROTEIN STRUCTURE PREDICTION Metagenomics sequence data give protein structure prediction a boost,"Söding,  J.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2017
,86,"Big-Data Analysis, Cluster Analysis, and Machine-Learning Approaches","Alonso-Betanzos, Amparo; Bolón-Canedo, Verónica",Kluwer Academic Publishers,2018
,87,Big-Data-Technologien in der Fahrzeugentwicklung,"Abthoff, T.",Springer Science + Business Media,2016
,88,Big-Data Approach for Three-Dimensional Building Extraction from Aerial Laser Scanning,"Aljumaily,  Harith; Laefer,  Debra F.; Cuadra,  Dolores",ASCE AMERICAN SOCIETY OF CIVIL ENGINEERS,2016
,89,Big-Data-Based Intelligent Spectrum Sensing for Heterogeneous Spectrum Communications in 5G,"Liu, Xin; Sun, Qingquan; Lu, Weidang; Wu, Celimuge; Ding, Hua",IEEE,2020
,90,Big-data analytics: a critical review and some future directions,"JovanoviÄ, UroÅ¡; Å timec, AleÅ¡; VladuÅ¡iÄ, Daniel; Papa, Gregor; Å ilc, Jurij",Inderscience,2015
,91,Big-Data for Satellite Yearly Reports Generation (AIAA 2018-2368),"Hennion, Nicolas",AIAA,2018
,92,Big-Data Mechanisms and Energy-Policy Design,"Pat,  Ankit; Larson,  Kate; Keshav,  Srinivasen",American Association for Artificial Intelligence,2016
,93,Big-Sensing-Data Curation for the Cloud is Coming: A Promise of Scalable Cloud-Data-Center Mitigation for Next-Generation IoT and Wireless Sensor Networks,"Yang, C.; Puthal, D.; Mohanty, S.; Kougianos, E.",IEEE,2017
,94,Big-data analysis of phase-formation rules in high-entropy alloys,"Zhao, Wan-li; Miao, Ding-hao; Zhang, Yong; He, Zhan-bing","ELSEVIER SCIENCE B.V., AMSTERDAM",2017
,95,Big-Data Science: Infrastructure Impact,"Monga, Inder; Prabhat,",INDIAN NATIONAL SCIENCE ACADEMY,2018
,96,Big-Data Science: Infrastructure Impact,"Monga, Inder; Prabhat,",INDIAN NATIONAL SCIENCE ACADEMY,2018
,97,Big-Data-Based Power Battery Recycling for New Energy Vehicles: Information Sharing Platform and Intelligent Transportation Optimization,"Yu, Haijun; Dai, Hongliang; Tian, Guangdong; Xie, Yinghao; Wu, Benben; Zhu, Ying; Li, Hongliang; Wu, Han",IEEE,2020
,98,Big-Data-Anwendungsfälle methodisch erarbeiten,"Franz, T.",Springer Science + Business Media,2015
,99,Big-data-based edge biomarkers: study on dynamical drug sensitivity and resistance in individuals,"Zeng, T.; Zhang, W.; Yu, X.; Liu, X.; Li, M.; Chen, L.",Oxford University Press,2016
,100,Big-Data-Geschäftsmodelle — die drei Seiten der Medaille,"Hecker, D.",Springer Science + Business Media,2016
,1,"Big data: analyse that In the first of a series, Katharine Bagshaw FCA examines the scope and use of data analytics in audit",unknown,INSTITUTE OF CHARTERED ACCOUNTANTS,2017
,2,Big Data: Practical Applications [Scanning the Issue],"Benediktsson, Jon Atli",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,3,Big Data: Theoretical Aspects,"Haykin, S.; Wright, S.; Bengio, Y.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
,4,BIG DATA: HOW TO TARGET YOUR CUSTOMER'S CUSTOMER,"Leininger, J.",Printing Industries of America,2014
,5,Big Data-Driven Marketing: How Machine Learning Outperforms Marketers' Gut-Feeling,"Sundsoy, P.; Bjelland, J.; Iqbal, A.M.; Pentland, A.; de Montjoye, Y.-A.",SPRINGER-VERLAG,2014
,6,"""Big Data"" in Vascular Surgery: A Reality not to be Missed But to Use With Caution","Ricco, Jean-Baptiste; Guetarni, Farid; Gargiulo, Mauro","Elsevier Science B.V., Amsterdam",2019
,7,"Big Data: Was ist das? Und was bedeutet es für Wissenschaft, Wirtschaft und Gesellschaft?","Günther, O.",Springer Science + Business Media,2014
,8,Big data-based prediction of terrorist attacks,"Meng, Xi; Nie, Lingyu; Song, Jiapeng","Elsevier Science B.V., Amsterdam.",2019
,9,Data-Driven Decision Making in Precision Agriculture: The Rise of Big Data in Agricultural Systems,"Tantalaki, Nicoleta; Souravlas, Stavros; Roumeliotis, Manos",Taylor & Francis,2019
,10,Big data! Big deal?,"Mackie, P.; Sim, F.; Johnman, C.","Elsevier Science B.V., Amsterdam",2015
,11,Big data: A new opportunity for transport geography?,"Tranos, Emmanouil; Mack, Elizabeth","Elsevier Science B.V., Amsterdam.",2019
,12,"Big data: techniques and technologies in geoinformatics, edited by Hassan A. Karimi, Boca Raton, FL, CRC Press, 2014, 312 pp., US$129.95 (hardcover), ISBN 13-978-1466586512","Nara, Atsushi",Taylor & Francis,2015
,13,Big Data: A case study of disruption and government power,"Galloway,  Kate",LEGAL SERVICE BULLETIN CO-OPERATIVE LTD,2017
,14,Big Data: Understanding how Creative Organisations Create and Sustain their Networks,"Bruce, Fraser; Malcolm, Jackie; O’Neill, Shaleph",Taylor & Francis,2017
,15,Big data-assisted social media analytics for business model for business decision making system competitive analysis,"Zhang, Honglei; Zang, Zhenbo; Zhu, Hongjun; Uddin, M. Irfan; Amin, M. Asim","Elsevier Science B.V., Amsterdam.",2022
,16,"Big data's mistake Figures are fine, but war isn't a numbers game PLUS: This week's cultural picks",unknown,IPC MAGAZINES LTD,2018
,17,"Big data's blueprint In the 1900s, America probed its citizens' lives as never before",unknown,IPC MAGAZINES LTD,2015
,18,Big data: techniques and technologies in geoinformatics,"Tsou, Ming-Hsiang",Taylor & Francis,2014
,19,Big Data-Conceptual Modeling to the Rescue,"Embley, D.W.; Liddle, S.W.",SPRINGER-VERLAG,2013
,20,Big Data? Qualitative Approaches to Digital Research,unknown,Emerald,2014
,21,Big Data? Qualitative Approaches to Digital Research,unknown,Emerald,2014
,22,"Big data: A revolution that will transform how we live, work, and think, by Viktor Mayer-Schonberger and Kenneth Cukier","Parise, Salvatore",Taylor & Francis,2016
,23,Big data analytics capability and decision-making: The role of data-driven insight on circular economy performance,"Awan, Usama; Shamim, Saqib; Khan, Zaheer; Zia, Najam Ul; Shariq, Syed Muhammad; Khan, Muhammad Naveed","Elsevier Science B.V., Amsterdam.",2021
,24,‘Big data’ in mental health research: current status and emerging possibilities,"Stewart, R.; Davis, K.",Springer Science + Business Media,2016
,25,``Big Data'' Has Not Come to Pediatric Anesthesia,"Fisher, D.M.",Lippincott Williams & Wilkins,2014
,26,Big data: a new perspective for the establishment of segments for niche marketing,"Ojha, Satish Chandra",Inderscience,2019
,27,Big Data…Small Conclusion,"Murthy, Sudish C.","Elsevier Science B.V., Amsterdam",2020
,28,BIG DATA and Data-Driven Intelligent Predictive Algorithms to support creativity in Industrial Engineering,"Rousseaux, Francis","Elsevier Science B.V., Amsterdam.",2017
,29,Big data-driven supply chain performance measurement system: a review and framework for implementation,"Kamble, Sachin S.; Gunasekaran, Angappa",Taylor & Francis,2020
,30,Big Data: A Normal Accident Waiting to Happen?,"Nunan, D.; Di Domenico, M.",Springer Science + Business Media,2017
,31,Big data: The panoptic medium of the information age.,"Biggs, Simon",Artlink,2017
,32,Big Data: A Primer,"Vinaja, Robert",IVY LEAGUE PUBLISHING,2017
,33,Big Data—Go `Granular' to Boost Sales We look at how advances in technology are enhancing sales and marketing efforts by commercial launderers,unknown,TRSA,2019
,34,"‘Big data’, Hadoop and cloud computing in genomics","O’Driscoll, A.; Daugelaite, J.; Sleator, R. D.","Elsevier Science B.V., Amsterdam",2013
,35,Big Data: Incentivized Self,"Dobrow, L.",CPS COMMUNICATIONS INC,2013
,36,â€˜Big Dataâ€™ in Health Care. What Does It Mean and Will It Make a Difference?,"Velthuis, E. J.; Malka, E. S.; Richards, M. S.","Elsevier Science B.V., Amsterdam",2013
,37,Big data-driven precision medicine: Starting the custom-made era of iatrology,"Song, Chang; Kong, Ying; Huang, Lianfang; Luo, Hui; Zhu, Xiao","Elsevier Science B.V., Amsterdam.",2020
,38,Big Data-Based Precise Diagnosis in Space Range Communication Systems,"Gao, Yuan; Ao, Hong; Zhou, Weigui; Hu, Su; Tang, Wanbin; Li, Yunzhou; Sun, Yunchuan; Wang, Ting; Li, Xiangyang",Springer,2018
,39,Big Data: Warum Sie noch lange darauf warten sollten,"Springer, G. W.",Springer Science + Business Media,2014
,40,Big Data: An Institutional Perspective on Opportunities and Challenges,"Hasnat, Baban",Newfound Press,2018
,41,Big data: Some statistical issues,"Cox, D.R.; Kartsonaki, Christiana; Keogh, Ruth H.","Elsevier Science B.V., Amsterdam.",2018
,42,"`Big Data' collaboration: Exploring, recording and sharing enterprise knowledge","Sukumar, S.R.; Ferrell, R.K.",IOS Press; 1999,2013
,43,Big data: an information security context,"Constantine, C.","Elsevier Science B.V., Amsterdam.",2014
,44,Big Data-Based Epidemiology of Uveitis and Related Intraocular Inflammation,"Akhter, Mashal; Toy, Brian",Lippincott Williams & Wilkins,2021
,45,Data-Enabled Digestive Medicine: A New Big Data Analytics Platform,"Yan, Lu; Huang, Weihong; Wang, Liming; Feng, Song; Peng, Yonghong; Peng, Jie",IEEE,2021
,46,"Data-intensive applications, challenges, techniques and technologies: A survey on Big Data","Philip Chen, C. L.; Zhang, C. Y.","Elsevier Science B.V., Amsterdam.",2014
,47,Big Data: Issues for an International Political Sociology of Data Practices1,"Madsen, A. K.; Flyverbom, M.; Hilbert, M.; Ruppert, E.",Oxford University Press,2016
,48,“Big Data” Has Not Come to Pediatric Anesthesia,"Fisher, Dennis M.",Lippincott Williams & Wilkins,2014
,49,Big Data: Its Meaning,"Reed, P.G.",unknown,2018
,50,"Big Data's promise: messy, like us","Karlgaard, R.",FORBES MAGAZINE,2013
,51,Big data's big bias in drug safety,unknown,British Medical Association,2017
,52,Data-Driven Authoritarianism: Non-democracies and Big Data,"Kabanov, Yury; Karyagin, Mikhail",Springer,2018
,53,Big data: creating the right balance,"Palamuthusingam, Dharmenaan; Reyaldeen, Reza; Nath, Karthik","Elsevier Science B.V., Amsterdam",2019
,54,"BIG DATA: NEW SCIENCE, NEW CHALLENGES, NEW DIALOGICAL OPPORTUNITIES","Fuller, M.",Wiley-Blackwell,2015
,55,Data-driven ICU management: Using Big Data and algorithms to improve outcomes,"Carra, Giorgia; Salluh, Jorge I.F.; da Silva Ramos, Fernando José; Meyfroidt, Geert","Elsevier Science B. V., Amsterdam",2020
,56,Big Data-Not a Panacea,"Riffat, M.",Information Systems Audit and Control Association,2014
,57,"Data warehousing and OLAP over Big Data: a survey of the state-of-the-art, open problems and future challenges","Cuzzocrea, Alfredo",Inderscience,2015
,58,"Big Data: What, Why, When and How","Kezunovic, M.","Stillwater, OK; Oklahoma State University",2014
,59,"Big Universe, Big Data: Machine Learning and Image Analysis for Astronomy","Kremer, J.; Stensbo-Smidt, K.; Gieseke, F.; Pedersen, K. S.; Igel, C.",COMPUTER SOCIETY,2017
,60,Data-driven innovation: switching the perspective on Big Data,"Trabucchi, Daniel; Buganza, Tommaso",Emerald Group Publishing Limited,2019
,61,"Big Data: Opportunities, Challenges and Solutions","Gorodetsky, V.",Springer Science and Business Media,2014
,62,Big Data-Revolution oder Datenhybris?,"Gramelsberger, G.",SPRINGER SCIENCE + BUSINESS MEDIA,2017
,63,Big data-based multimedia transcoding method and its application in multimedia data mining-based smart transportation and telemedicine,"Zhu, D.",Springer Science + Business Media,2016
,64,Big data-driven fuzzy large-scale group decision making (LSGDM) in circular economy environment,"Xuan, Li","Elsevier Science B.V., Amsterdam.",2022
,65,"Big data: Dimensions, evolution, impacts, and challenges","Lee, In","Elsevier Science B.V., Amsterdam.",2017
,66,‘Big data’ or ‘big knowledge’? Brazilian genomics and the process of academic marketization,"Bicudo, Edison",CAMBRIDGE UNIVERSITY PRESS,2018
,67,Big Data: Challenges and opportunities for clinical pharmacology,"Flockhart, D.; Bies, R. R.; Gastonguay, M. R.; Schwartz, S. L.",Wiley-Blackwell,2016
,68,Big Data-Driven Manufacturing-Process-Monitoring-for-Quality Philosophy,Jeffrey A. Abell; Debejyo Chakraborty; Carlos A. Escobar; Kee H. Im; Diana M. Wegner ; Michael A. Wincek,American Society of Mechanical Engineering (ASME),2017
,69,"Data as an asset: What the oil and gas sector can learn from other industries about ""Big Data""","Perrons, Robert K.; Jensen, Jesse W.","Elsevier Science B.V., Amsterdam.",2015
,70,Big data’s role in expanding access to financial services in China,"Kshetri, Nir","Elsevier Science B.V., Amsterdam.",2016
,71,Big Data's Impact on the U.S. Medical Industry,"Makumbi,  Victoria",WARREN GORHAM & LAMONT INC,2017
,72,"Big Data, Little Data: Scholarship in the Networked World","Calvert, Philip",Emerald Group Publishing Limited,2017
,73,Big Data: An incoming challenge for vehicular ad‐hoc networking,"Bourdy, Emilien; Piamrat, Kandaraj; Herbin, Michel",John Wiley & Sons Ltd,2019
,74,Big Data’s Promises and Perils,"OJALA, MARYDEE",Information Today,2015
,75,Big Data: A very short introduction,unknown,"Elsevier Science B.V., Amsterdam.",2017
